customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,charge_band,ChurnInt
5781-RFZRP,Male,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,Credit card (automatic),73.5,5357.75,false,49+ months,High ($65-90),0
7293-LSCDV,Female,No,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),19.25,1103.25,false,49+ months,Low (<$35),0
7025-WCBNE,Male,Yes,No,No,47,Yes,Yes,DSL,No,Yes,No,Yes,No,No,No,Bank transfer (automatic),59.6,2754.0,false,25-48 months,Medium ($35-65),0
9548-LIGTA,Male,No,Yes,No,61,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Mailed check,81.05,4747.65,false,49+ months,High ($65-90),0
4568-KNYWR,Male,No,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Yes,Credit card (automatic),63.25,3342.45,false,49+ months,Medium ($35-65),0
0742-LAFQK,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Electronic check,99.15,7422.1,false,49+ months,Premium (>$90),0
0795-LAFGP,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic check,90.4,6668.05,false,49+ months,Premium (>$90),0
0619-OLYUR,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),111.9,8071.05,false,49+ months,Premium (>$90),0
0459-SPZHJ,Male,No,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),83.5,5435.0,false,49+ months,High ($65-90),0
8208-EUMTE,Male,No,No,No,16,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Mailed check,54.85,916.15,false,13-24 months,Medium ($35-65),0
0374-FIUCA,Male,No,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),20.4,1414.45,false,49+ months,Low (<$35),0
