customerID,Contract,InternetService,PaymentMethod,MonthlyCharges,tenure,TotalCharges,Churn,revenue_rank,charge_quartile,contract_avg_charge,vs_contract_avg,customer_tier
1950-KSVVJ,One year,Fiber optic,Mailed check,113.3,45,5032.25,0,107,4,65.05,48.25,Enterprise
3655-SNQYZ,Two year,Fiber optic,Credit card (automatic),113.25,69,7895.15,0,108,4,60.77,52.48,Enterprise
7279-BUYWN,Month-to-month,Fiber optic,Electronic check,113.2,41,4689.5,1,109,4,66.4,46.8,Enterprise
9786-IJYDL,Two year,Fiber optic,Mailed check,113.2,35,3914.05,0,109,4,60.77,52.43,Enterprise
9475-NNDGC,One year,Fiber optic,Bank transfer (automatic),113.15,71,7953.25,0,111,4,65.05,48.1,Enterprise
1043-UXOVO,Two year,Fiber optic,Credit card (automatic),113.15,71,7993.3,0,111,4,60.77,52.38,Enterprise
5271-YNWVR,Two year,Fiber optic,Electronic check,113.15,68,7856.0,1,111,4,60.77,52.38,Enterprise
6859-QNXIQ,Two year,Fiber optic,Bank transfer (automatic),113.1,72,8248.5,0,114,4,60.77,52.33,Enterprise
3870-SPZSI,Two year,Fiber optic,Credit card (automatic),113.05,70,7869.05,0,115,4,60.77,52.28,Enterprise
0907-HQNTS,Two year,Fiber optic,Credit card (automatic),113.0,70,7987.6,0,116,4,60.77,52.23,Enterprise
0771-WLCLA,Month-to-month,Fiber optic,Electronic check,112.95,16,1882.55,0,117,4,66.4,46.55,Enterprise
1583-IHQZE,Month-to-month,Fiber optic,Mailed check,112.95,12,1384.75,1,117,4,66.4,46.55,Enterprise
5236-PERKL,Two year,Fiber optic,Bank transfer (automatic),112.95,57,6465.0,1,117,4,60.77,52.18,Enterprise
9481-IEBZY,Month-to-month,Fiber optic,Credit card (automatic),112.9,72,8061.5,0,120,4,66.4,46.5,Enterprise
5183-KLYEM,Two year,Fiber optic,Credit card (automatic),112.75,72,8192.6,0,121,4,60.77,51.98,Enterprise
3520-FJGCV,Two year,Fiber optic,Credit card (automatic),112.6,72,8126.65,0,122,4,60.77,51.83,Enterprise
6993-YGFJV,Two year,Fiber optic,Bank transfer (automatic),112.55,69,7806.5,0,123,4,60.77,51.78,Enterprise
4829-ZLJTK,Two year,Fiber optic,Electronic check,112.4,72,8046.85,0,124,4,60.77,51.63,Enterprise
8561-NMTBD,One year,Fiber optic,Credit card (automatic),112.35,67,7388.45,0,125,4,65.05,47.3,Enterprise
7255-SSFBC,Two year,Fiber optic,Bank transfer (automatic),112.25,72,8041.65,0,126,4,60.77,51.48,Enterprise
6480-YAGIY,One year,Fiber optic,Credit card (automatic),112.2,45,5031.85,0,127,4,65.05,47.15,Enterprise
0378-CJKPV,Two year,Fiber optic,Credit card (automatic),112.1,72,7965.95,0,128,4,60.77,51.33,Enterprise
2403-BCASL,One year,Fiber optic,Electronic check,111.95,41,4534.9,1,129,4,65.05,46.9,Enterprise
6664-FPDAC,One year,Fiber optic,Electronic check,111.95,56,6418.9,1,129,4,65.05,46.9,Enterprise
7055-JCGNI,Two year,Fiber optic,Credit card (automatic),111.95,70,7795.95,0,129,4,60.77,51.18,Enterprise
2193-SFWQW,Two year,Fiber optic,Bank transfer (automatic),111.95,72,8033.1,0,129,4,60.77,51.18,Enterprise
0619-OLYUR,Two year,Fiber optic,Credit card (automatic),111.9,72,8071.05,0,133,4,60.77,51.13,Enterprise
7409-JURKQ,One year,Fiber optic,Bank transfer (automatic),111.8,53,5809.75,0,134,4,65.05,46.75,Enterprise
8099-MZPUJ,Two year,Fiber optic,Credit card (automatic),111.8,48,5443.65,0,134,4,60.77,51.03,Enterprise
2632-IVXVF,Two year,Fiber optic,Credit card (automatic),111.75,68,7511.3,0,136,4,60.77,50.98,Enterprise
2469-DTSGX,Two year,Fiber optic,Electronic check,111.65,72,7943.45,0,137,4,60.77,50.88,Enterprise
5304-EFJLP,Two year,Fiber optic,Bank transfer (automatic),111.65,72,8022.85,0,137,4,60.77,50.88,Enterprise
1891-QRQSA,Two year,Fiber optic,Bank transfer (automatic),111.6,64,7099.0,0,139,4,60.77,50.83,Enterprise
8853-TZDGH,Two year,Fiber optic,Bank transfer (automatic),111.6,72,8012.75,0,139,4,60.77,50.83,Enterprise
3090-HAWSU,Two year,Fiber optic,Credit card (automatic),111.6,61,6876.05,1,139,4,60.77,50.83,Enterprise
3584-WKTTW,One year,Fiber optic,Electronic check,111.55,51,5720.35,0,142,4,65.05,46.5,Enterprise
2587-EKXTS,Month-to-month,Fiber optic,Electronic check,111.5,44,4915.15,0,143,4,66.4,45.1,Enterprise
7245-JMTTQ,One year,Fiber optic,Electronic check,111.5,51,5703.25,0,143,4,65.05,46.45,Enterprise
7130-YXBRO,Month-to-month,Fiber optic,Bank transfer (automatic),111.45,48,5315.1,0,145,4,66.4,45.05,Enterprise
1135-HIORI,One year,Fiber optic,Electronic check,111.45,64,7266.95,0,145,4,65.05,46.4,Enterprise
3292-PBZEJ,Month-to-month,Fiber optic,Electronic check,111.4,11,1183.05,0,147,4,66.4,45.0,Enterprise
6168-YBYNP,Month-to-month,Fiber optic,Electronic check,111.35,59,6519.75,0,148,4,66.4,44.95,Enterprise
2659-VXMWZ,One year,Fiber optic,Electronic check,111.3,67,7482.1,1,149,4,65.05,46.25,Enterprise
2773-OVBPK,Two year,Fiber optic,Bank transfer (automatic),111.3,67,7567.2,0,149,4,60.77,50.53,Enterprise
3508-CFVZL,Two year,Fiber optic,Mailed check,111.3,71,7985.9,0,149,4,60.77,50.53,Enterprise
3199-NPKCN,One year,Fiber optic,Electronic check,111.25,67,7511.65,0,152,4,65.05,46.2,Enterprise
9249-FXSCK,One year,Fiber optic,Credit card (automatic),111.25,52,5916.45,1,152,4,65.05,46.2,Enterprise
0835-JKADZ,Two year,Fiber optic,Electronic check,111.25,71,7984.15,0,152,4,60.77,50.48,Enterprise
0115-TFERT,Month-to-month,Fiber optic,Electronic check,111.2,21,2317.1,1,155,4,66.4,44.8,Enterprise
3022-BEXHZ,Two year,Fiber optic,Bank transfer (automatic),111.2,67,7530.8,0,155,4,60.77,50.43,Enterprise
2067-QYTCF,Month-to-month,Fiber optic,Electronic check,111.15,64,6953.4,0,157,4,66.4,44.75,Enterprise
5514-YQENT,Two year,Fiber optic,Electronic check,111.15,41,4507.15,0,157,4,60.77,50.38,Enterprise
8071-SBTRN,Two year,Fiber optic,Mailed check,111.15,70,7737.55,0,157,4,60.77,50.38,Enterprise
9079-YEXQJ,Month-to-month,Fiber optic,Electronic check,111.1,54,6014.85,1,160,4,66.4,44.7,Enterprise
8591-TKMZH,Two year,Fiber optic,Mailed check,111.1,59,6555.2,0,160,4,60.77,50.33,Enterprise
6067-NGCEU,Month-to-month,Fiber optic,Credit card (automatic),111.05,65,7107.0,0,162,4,66.4,44.65,Enterprise
2323-ARSVR,Two year,Fiber optic,Electronic check,111.05,67,7321.05,0,162,4,60.77,50.28,Enterprise
7632-MNYOY,One year,Fiber optic,Credit card (automatic),110.9,66,7432.05,1,164,4,65.05,45.85,Enterprise
9351-HXDMR,Two year,Fiber optic,Credit card (automatic),110.9,72,8240.85,0,164,4,60.77,50.13,Enterprise
7030-FZTFM,Two year,Fiber optic,Credit card (automatic),110.9,72,7922.75,0,164,4,60.77,50.13,Enterprise
6030-REHUX,Month-to-month,Fiber optic,Electronic check,110.85,28,3204.4,0,167,4,66.4,44.45,Enterprise
9835-ZIITK,One year,Fiber optic,Electronic check,110.85,66,7491.75,1,167,4,65.05,45.8,Enterprise
4789-KWMXN,One year,Fiber optic,Credit card (automatic),110.85,47,5275.8,1,167,4,65.05,45.8,Enterprise
2272-JKMSI,One year,Fiber optic,Electronic check,110.8,62,6840.95,0,170,4,65.05,45.75,Enterprise
4118-CEVPF,One year,Fiber optic,Bank transfer (automatic),110.8,35,3836.3,0,170,4,65.05,45.75,Enterprise
2499-AJYUA,Two year,Fiber optic,Credit card (automatic),110.8,72,7882.25,0,170,4,60.77,50.03,Enterprise
5795-KTGUD,Two year,Fiber optic,Bank transfer (automatic),110.8,68,7553.6,0,170,4,60.77,50.03,Enterprise
9330-VOFSZ,Two year,Fiber optic,Credit card (automatic),110.8,60,6640.7,0,170,4,60.77,50.03,Enterprise
4616-ULAOA,Two year,Fiber optic,Credit card (automatic),110.8,65,7245.9,0,170,4,60.77,50.03,Enterprise
5099-BAILX,Month-to-month,Fiber optic,Bank transfer (automatic),110.75,43,4687.9,1,176,4,66.4,44.35,Enterprise
1320-REHCS,Month-to-month,Fiber optic,Electronic check,110.75,52,5832.0,0,176,4,66.4,44.35,Enterprise
8920-NAVAY,One year,Fiber optic,Bank transfer (automatic),110.75,62,7053.35,0,176,4,65.05,45.7,Enterprise
2272-WUSPA,Two year,Fiber optic,Electronic check,110.75,72,7751.7,0,176,4,60.77,49.98,Enterprise
9356-AXGMP,One year,Fiber optic,Electronic check,110.7,38,4428.6,0,180,4,65.05,45.65,Enterprise
0409-WTMPL,One year,Fiber optic,Credit card (automatic),110.65,58,6526.65,0,181,4,65.05,45.6,Enterprise
8823-RLPWL,Two year,Fiber optic,Credit card (automatic),110.65,72,8065.65,0,181,4,60.77,49.88,Enterprise
4827-LTQRJ,One year,Fiber optic,Credit card (automatic),110.6,66,7210.85,0,183,4,65.05,45.55,Enterprise
1291-CUOCY,Two year,Fiber optic,Credit card (automatic),110.6,72,7962.2,0,183,4,60.77,49.83,Enterprise
6993-YCOBK,Two year,Fiber optic,Electronic check,110.6,60,6586.85,0,183,4,60.77,49.83,Enterprise
4476-OSWTN,One year,Fiber optic,Mailed check,110.55,69,7610.1,0,186,4,65.05,45.5,Enterprise
2673-CXQEU,One year,Fiber optic,Electronic check,110.5,56,6139.5,0,187,4,65.05,45.45,Enterprise
1258-YMZNM,One year,Fiber optic,Bank transfer (automatic),110.5,27,2857.6,0,187,4,65.05,45.45,Enterprise
8008-ESFLK,One year,Fiber optic,Electronic check,110.5,53,5835.5,0,187,4,65.05,45.45,Enterprise
7519-JTWQH,Two year,Fiber optic,Bank transfer (automatic),110.5,69,7455.45,0,187,4,60.77,49.73,Enterprise
9405-GPBBG,Two year,Fiber optic,Credit card (automatic),110.5,64,7069.25,0,187,4,60.77,49.73,Enterprise
6297-NOOPG,Two year,Fiber optic,Electronic check,110.5,70,7752.05,0,187,4,60.77,49.73,Enterprise
3336-JORSO,Month-to-month,Fiber optic,Electronic check,110.45,33,3655.45,1,193,4,66.4,44.05,Enterprise
6647-ZEDXT,One year,Fiber optic,Credit card (automatic),110.45,30,3327.05,0,193,4,65.05,45.4,Enterprise
7602-MVRMB,Two year,Fiber optic,Bank transfer (automatic),110.45,72,8058.85,0,193,4,60.77,49.68,Enterprise
8309-PPCED,Two year,Fiber optic,Bank transfer (automatic),110.45,72,7982.5,0,193,4,60.77,49.68,Enterprise
1409-PHXTF,Two year,Fiber optic,Electronic check,110.45,54,6077.75,0,193,4,60.77,49.68,Enterprise
3870-MQAMG,One year,Fiber optic,Electronic check,110.35,54,5893.15,1,198,4,65.05,45.3,Enterprise
3729-OWRVL,Two year,Fiber optic,Electronic check,110.35,65,7246.15,0,198,4,60.77,49.58,Enterprise
3580-HYCSP,Two year,Fiber optic,Bank transfer (automatic),110.3,72,7966.9,0,200,4,60.77,49.53,Enterprise
2789-CZANW,Two year,Fiber optic,Bank transfer (automatic),110.3,64,6997.3,0,200,4,60.77,49.53,Enterprise
4627-MIHJH,Two year,Fiber optic,Credit card (automatic),110.25,69,7467.55,0,202,4,60.77,49.48,Enterprise
1936-UAFEH,Two year,Fiber optic,Credit card (automatic),110.25,68,7279.35,0,202,4,60.77,49.48,Enterprise
7576-JMYWV,Month-to-month,Fiber optic,Electronic check,110.2,46,4972.1,0,204,4,66.4,43.8,Enterprise
5153-LXKDT,Two year,Fiber optic,Electronic check,110.2,68,7467.5,0,204,4,60.77,49.43,Enterprise
8707-HOEDG,Two year,Fiber optic,Electronic check,110.2,70,7689.8,0,204,4,60.77,49.43,Enterprise
2408-TZMJL,One year,Fiber optic,Electronic check,110.15,59,6448.05,1,207,4,65.05,45.1,Enterprise
9070-BCKQP,Two year,Fiber optic,Credit card (automatic),110.15,72,7881.2,0,207,4,60.77,49.38,Enterprise
7566-DSRLQ,Two year,Fiber optic,Electronic check,110.15,72,7998.8,0,207,4,60.77,49.38,Enterprise
9851-KIELU,Month-to-month,Fiber optic,Electronic check,110.1,10,1043.3,1,210,4,66.4,43.7,Enterprise
2931-SVLTV,Month-to-month,Fiber optic,Credit card (automatic),110.1,40,4469.1,0,210,4,66.4,43.7,Enterprise
4778-IZARL,Two year,Fiber optic,Credit card (automatic),110.1,63,6705.7,0,210,4,60.77,49.33,Enterprise
3244-CQPHU,Two year,Fiber optic,Bank transfer (automatic),110.1,72,7746.7,0,210,4,60.77,49.33,Enterprise
5027-YOCXN,One year,Fiber optic,Credit card (automatic),110.05,51,5686.4,0,214,4,65.05,45.0,Enterprise
2988-QRAJY,Two year,Fiber optic,Credit card (automatic),110.05,69,7430.75,0,214,4,60.77,49.28,Enterprise
0691-IFBQW,One year,Fiber optic,Electronic check,110.0,46,4874.8,1,216,4,65.05,44.95,Enterprise
6333-YDVLT,One year,Fiber optic,Credit card (automatic),110.0,65,7138.65,0,216,4,65.05,44.95,Enterprise
3192-NQECA,Two year,Fiber optic,Bank transfer (automatic),110.0,68,7611.85,1,216,4,60.77,49.23,Enterprise
7868-TMWMZ,Two year,Fiber optic,Bank transfer (automatic),110.0,60,6668.35,0,216,4,60.77,49.23,Enterprise
3174-RKMOW,Month-to-month,Fiber optic,Electronic check,109.95,35,3782.4,0,220,4,66.4,43.55,Enterprise
0136-IFMYD,Two year,Fiber optic,Electronic check,109.95,69,7634.25,0,220,4,60.77,49.18,Enterprise
1841-YSJGV,Two year,Fiber optic,Credit card (automatic),109.95,72,7852.4,0,220,4,60.77,49.18,Enterprise
0177-PXBAT,Month-to-month,Fiber optic,Bank transfer (automatic),109.9,33,3694.7,0,223,4,66.4,43.5,Enterprise
3992-YWPKO,Month-to-month,Fiber optic,Credit card (automatic),109.9,6,669.45,1,223,4,66.4,43.5,Enterprise
0795-GMVQO,One year,Fiber optic,Credit card (automatic),109.9,67,7332.4,0,223,4,65.05,44.85,Enterprise
0254-FNMCI,Two year,Fiber optic,Electronic check,109.9,72,7624.2,0,223,4,60.77,49.13,Enterprise
1656-DRSMG,Month-to-month,Fiber optic,Credit card (automatic),109.85,63,7002.95,0,227,4,66.4,43.45,Enterprise
3331-HQDTW,Month-to-month,Fiber optic,Mailed check,109.8,34,3587.25,1,228,4,66.4,43.4,Enterprise
6689-VRRTK,One year,Fiber optic,Credit card (automatic),109.8,44,4860.35,0,228,4,65.05,44.75,Enterprise
6198-PNNSZ,One year,Fiber optic,Bank transfer (automatic),109.8,56,6109.65,0,228,4,65.05,44.75,Enterprise
1725-IQNIY,Two year,Fiber optic,Bank transfer (automatic),109.75,54,6110.2,1,231,4,60.77,48.98,Enterprise
