customerID,Contract,MonthlyCharges,tenure,risk_score,risk_label,lifetime_value,Churn
3146-MSEGF,Two year,88.05,72,0,Low,6339.6,false
4080-OGPJL,Month-to-month,71.15,8,9,Critical,569.2,true
1095-WGNGG,Two year,101.05,61,0,Low,6164.05,false
2636-SJDOU,One year,84.3,64,1,Low,5395.2,false
1131-QQZEB,Two year,23.95,71,0,Low,1700.45,false
5716-EZXZN,Two year,99.05,65,0,Low,6438.25,false
6837-BJYDQ,One year,19.6,3,6,High,58.8,false
2135-RXIHG,Month-to-month,45.65,1,9,Critical,45.65,true
6440-DKQGE,One year,64.5,30,2,Low,1935.0,false
3466-BYAVD,Month-to-month,69.5,15,7,Critical,1042.5,false
3780-YVMFA,Month-to-month,68.55,8,9,Critical,548.4,false
3874-EQOEP,Month-to-month,95.0,7,8,Critical,665.0,true
1679-JRFBR,One year,108.15,70,1,Low,7570.5,false
9073-ZZIAY,Two year,86.1,62,3,Medium,5338.2,false
3077-RSNTJ,Month-to-month,19.7,6,8,Critical,118.2,false
6551-GNYDG,Month-to-month,80.9,14,5,High,1132.6,false
9167-APMXZ,Month-to-month,84.15,22,5,High,1851.3,false
2749-CTKAJ,One year,20.15,22,5,High,443.3,false
6371-NZYEG,Two year,64.25,16,4,Medium,1028.0,false
7554-NEWDD,Two year,25.7,10,3,Medium,257.0,false
8992-VONJD,Month-to-month,56.0,13,8,Critical,728.0,false
0867-MKZVY,Month-to-month,82.4,20,8,Critical,1648.0,true
4482-EWFMI,Month-to-month,69.7,2,9,Critical,139.4,false
4648-YPBTM,Two year,73.9,53,0,Low,3916.7,false
2907-ILJBN,One year,20.6,11,6,High,226.6,false
6345-FZOQH,Two year,19.9,69,2,Low,1373.1,false
3376-BMGFE,Month-to-month,70.9,4,6,High,283.6,true
5997-OPVFA,Two year,89.05,72,0,Low,6411.6,false
3445-HXXGF,Month-to-month,45.3,58,6,High,2627.4,true
1159-WFSGR,Month-to-month,20.4,16,8,Critical,326.4,false
7654-YWJUF,One year,84.25,43,2,Low,3622.75,false
1875-QIVME,Month-to-month,104.4,2,9,Critical,208.8,true
6727-IOTLZ,Two year,81.95,14,4,Medium,1147.3,false
0691-JVSYA,One year,94.85,53,1,Low,5027.05,true
5918-VUKWP,One year,20.55,32,2,Low,657.6,false
1744-JHKYS,Month-to-month,24.7,34,7,Critical,839.8,false
2656-FMOKZ,Month-to-month,74.45,15,7,Critical,1116.75,true
2070-FNEXE,Month-to-month,76.45,7,6,High,535.15,true
5947-SGKCL,Month-to-month,105.35,15,5,High,1580.25,false
3712-PKXZA,One year,20.55,61,1,Low,1253.55,false
6317-YPKDH,Month-to-month,29.95,1,6,High,29.95,true
6582-OIVSP,Month-to-month,45.3,1,8,Critical,45.3,false
9367-WXLCH,Month-to-month,84.5,8,6,High,676.0,true
5524-KHNJP,One year,74.75,33,2,Low,2466.75,false
1918-ZBFQJ,Month-to-month,79.25,13,8,Critical,1030.25,true
1024-GUALD,Month-to-month,24.8,1,9,Critical,24.8,true
4827-USJHP,Month-to-month,51.8,20,7,Critical,1036.0,false
8167-GJLRN,Month-to-month,30.4,3,9,Critical,91.2,false
0956-SYCWG,One year,19.65,13,6,High,255.45,false
8017-UVSZU,Month-to-month,56.6,40,4,Medium,2264.0,false
7100-FQPRV,One year,71.9,43,2,Low,3091.7,false
2472-OVKUP,Month-to-month,91.0,6,9,Critical,546.0,true
2984-RGEYA,Two year,19.75,69,0,Low,1362.75,false
9680-NIAUV,Two year,109.7,72,0,Low,7898.4,false
2146-EGVDT,Two year,19.3,59,0,Low,1138.7,false
2604-IJPDU,Month-to-month,96.55,20,8,Critical,1931.0,false
9178-JHUVJ,Two year,24.1,24,2,Low,578.4,false
6168-YBYNP,Month-to-month,111.35,59,6,High,6569.65,false
7255-SSFBC,Two year,112.25,72,0,Low,8082.0,false
3645-DEYGF,Month-to-month,20.75,1,8,Critical,20.75,false
9323-HGFWY,One year,101.9,27,2,Low,2751.3,false
8544-GOQSH,Month-to-month,80.05,14,5,High,1120.7,false
3363-DTIVD,Two year,105.55,71,3,Medium,7494.05,false
7018-WBJNK,Month-to-month,78.3,13,5,High,1017.9,false
9142-KZXOP,Month-to-month,68.85,44,4,Medium,3029.4,false
7674-YTAFD,One year,79.95,33,2,Low,2638.35,false
6348-SNFUS,Two year,55.45,72,0,Low,3992.4,false
1285-OKIPP,Month-to-month,79.9,1,9,Critical,79.9,true
7825-ECJRF,Month-to-month,106.6,19,8,Critical,2025.4,true
1347-KTTTA,One year,102.45,64,1,Low,6556.8,false
7841-TZDMQ,Month-to-month,46.0,2,6,High,92.0,true
4195-NZGTA,Month-to-month,25.25,1,9,Critical,25.25,false
7157-SMCFK,Two year,19.75,61,2,Low,1204.75,false
4709-LKHYG,One year,20.0,29,5,High,580.0,false
2504-DSHIH,Month-to-month,86.8,23,8,Critical,1996.4,false
0699-NDKJM,Month-to-month,58.75,57,3,Medium,3348.75,false
9286-BHDQG,Two year,45.25,72,0,Low,3258.0,false
0230-WEQUW,Two year,56.6,66,0,Low,3735.6,false
2040-LDIWQ,Two year,84.2,65,0,Low,5473.0,false
6496-JDSSB,Month-to-month,80.0,8,6,High,640.0,false
9408-SSNVZ,Month-to-month,70.15,4,9,Critical,280.6,true
4443-EMBNA,Two year,24.75,71,0,Low,1757.25,false
6469-MRVET,One year,20.2,1,7,Critical,20.2,false
0742-MOABM,Month-to-month,50.05,4,8,Critical,200.2,true
5961-VUSRV,One year,19.35,12,4,Medium,232.2,false
6778-JFCMK,One year,50.6,24,5,High,1214.4,false
6341-JVQGF,One year,81.15,31,4,Medium,2515.65,false
2232-DMLXU,Month-to-month,55.2,1,8,Critical,55.2,true
4811-JBUVU,Month-to-month,89.9,30,4,Medium,2697.0,false
0945-TSONX,Two year,85.3,47,1,Low,4009.1,false
2651-ZCBXV,Two year,108.0,54,0,Low,5832.0,false
3316-UWXUY,Month-to-month,93.5,50,3,Medium,4675.0,false
8937-RDTHP,Month-to-month,84.6,1,8,Critical,84.6,true
7083-MIOPC,Two year,20.25,72,0,Low,1458.0,false
1984-GPTEH,Month-to-month,25.15,29,7,Critical,729.35,false
1251-KRREG,Month-to-month,54.4,2,8,Critical,108.8,true
0621-JFHOL,Two year,29.6,10,5,High,296.0,false
9903-LYSAB,Month-to-month,73.15,18,8,Critical,1316.7,false
0094-OIFMO,Month-to-month,95.0,11,9,Critical,1045.0,true
9227-UAQFT,Two year,19.75,16,4,Medium,316.0,false
7301-ABVAD,Two year,86.6,72,0,Low,6235.2,false
6614-FHDBO,Two year,109.2,72,0,Low,7862.4,false
7576-ASEJU,One year,74.7,41,2,Low,3062.7,false
9058-HRZSV,Month-to-month,94.4,65,6,High,6136.0,false
4522-AKYLR,Month-to-month,54.8,13,8,Critical,712.4,false
0221-WMXNQ,Month-to-month,75.35,4,9,Critical,301.4,false
0303-UNCIP,One year,65.0,41,4,Medium,2665.0,false
9947-OTFQU,Month-to-month,74.4,15,8,Critical,1116.0,true
0322-YINQP,Month-to-month,48.55,1,8,Critical,48.55,true
0959-WHOKV,One year,99.0,42,5,High,4158.0,false
4075-JFPGR,One year,93.5,51,4,Medium,4768.5,false
4629-NRXKX,Month-to-month,70.4,2,9,Critical,140.8,true
9514-JDSKI,Month-to-month,40.2,1,9,Critical,40.2,true
3282-ZISZV,One year,83.7,32,2,Low,2678.4,false
3675-YDUPJ,Month-to-month,19.85,10,8,Critical,198.5,false
4111-BNXIF,Two year,59.55,67,3,Medium,3989.85,false
7017-VFHAY,Two year,115.1,61,0,Low,7021.1,false
6655-LHBYW,One year,114.35,50,1,Low,5717.5,false
4959-JOSRX,Month-to-month,44.6,2,6,High,89.2,true
5046-NUHWD,Month-to-month,45.0,29,7,Critical,1305.0,false
7273-TEFQD,Month-to-month,41.15,3,9,Critical,123.45,true
3606-TWKGI,Month-to-month,106.9,13,8,Critical,1389.7,true
7529-ZDFXI,Month-to-month,89.85,57,6,High,5121.45,false
7605-BDWDC,Two year,49.85,31,1,Low,1545.35,false
1950-KSVVJ,One year,113.3,45,4,Medium,5098.5,false
0123-CRBRT,Two year,88.1,61,2,Low,5374.1,false
6292-TOSSS,Two year,24.9,50,0,Low,1245.0,false
3197-ARFOY,Month-to-month,105.0,19,7,Critical,1995.0,false
6323-AYBRX,Two year,19.35,59,2,Low,1141.65,true
7014-ZZXAW,Two year,24.25,71,0,Low,1721.75,false
4385-GZQXV,Month-to-month,94.45,16,8,Critical,1511.2,true
7633-MVPUY,Two year,59.75,57,3,Medium,3405.75,false
6366-ZGQGL,Month-to-month,24.8,1,6,High,24.8,true
4716-HHKQH,Month-to-month,107.05,20,8,Critical,2141.0,false
5940-AHUHD,Month-to-month,70.6,1,8,Critical,70.6,true
6432-TWQLB,Month-to-month,85.4,5,9,Critical,427.0,true
4484-GLZOU,Month-to-month,105.05,52,6,High,5462.6,true
3179-GBRWV,Month-to-month,64.95,21,5,High,1363.95,false
8645-KWHJO,Month-to-month,55.0,14,8,Critical,770.0,false
4130-MZLCC,Month-to-month,50.55,5,6,High,252.75,false
0314-TKOSI,Month-to-month,55.15,6,8,Critical,330.9,false
8229-MYEJZ,Month-to-month,51.2,10,9,Critical,512.0,false
2080-SRCDE,Month-to-month,25.4,1,8,Critical,25.4,false
9577-WJVCQ,Month-to-month,54.45,68,5,High,3702.6,false
9512-UIBFX,Month-to-month,95.15,18,7,Critical,1712.7,true
6202-DYYFX,One year,76.0,22,3,Medium,1672.0,false
3808-HFKDE,Month-to-month,44.35,20,8,Critical,887.0,false
5583-SXDAG,Month-to-month,70.0,1,9,Critical,70.0,true
3488-PGMQJ,Month-to-month,74.5,8,9,Critical,596.0,true
3580-REOAC,Month-to-month,44.85,10,6,High,448.5,true
7534-BFESC,Month-to-month,76.1,24,8,Critical,1826.4,true
3727-OWVYD,One year,61.2,35,4,Medium,2142.0,false
2294-SALNE,One year,86.8,23,5,High,1996.4,false
4847-TAJYI,Month-to-month,89.35,6,9,Critical,536.1,false
1563-IWQEX,Month-to-month,19.7,12,8,Critical,236.4,false
8203-XJZRC,Month-to-month,20.25,1,8,Critical,20.25,false
6556-DBKZF,Two year,76.05,71,3,Medium,5399.55,false
6851-WEFYX,Month-to-month,100.8,35,7,Critical,3528.0,false
2985-JUUBZ,Month-to-month,74.55,40,7,Critical,2982.0,false
6390-DSAZX,Month-to-month,73.6,1,8,Critical,73.6,true
0895-LMRSF,One year,64.9,23,3,Medium,1492.7,false
8098-LLAZX,Month-to-month,95.45,4,9,Critical,381.8,true
8266-VBFQL,Month-to-month,90.4,4,9,Critical,361.6,false
8181-YHCMF,Two year,60.3,68,0,Low,4100.4,false
2240-HSJQD,Month-to-month,81.85,38,6,High,3110.3,false
1248-DYXUB,Two year,24.8,52,2,Low,1289.6,false
0265-EDXBD,Month-to-month,74.9,32,7,Critical,2396.8,true
4115-BNPJY,Two year,75.55,29,3,Medium,2190.95,false
3167-SNQPL,Month-to-month,101.15,38,7,Critical,3843.7,false
4091-TVOCN,One year,78.75,48,2,Low,3780.0,false
1098-TDVUQ,Month-to-month,19.25,1,6,High,19.25,false
7277-OZCGZ,Month-to-month,89.05,22,8,Critical,1959.1,false
1557-EMYVT,Two year,115.05,43,1,Low,4947.15,false
2799-ARNLO,Month-to-month,69.35,5,9,Critical,346.75,false
7563-BIUPC,Month-to-month,80.6,5,9,Critical,403.0,true
5027-YOCXN,One year,110.05,51,1,Low,5612.55,false
3973-SKMLN,Two year,19.9,71,0,Low,1412.9,false
2321-OMBXY,One year,80.3,38,2,Low,3051.4,true
2840-XANRC,Month-to-month,93.15,24,8,Critical,2235.6,true
6745-JEFZB,Month-to-month,91.5,35,4,Medium,3202.5,false
5020-ZSTTY,One year,82.45,54,1,Low,4452.3,true
9880-TDQAC,Two year,60.0,72,3,Medium,4320.0,false
8705-WZCYL,Month-to-month,44.8,1,9,Critical,44.8,false
7102-JJVTX,One year,48.6,9,6,High,437.4,false
8626-PTQGE,Two year,60.05,69,0,Low,4143.45,false
4983-CLMLV,Month-to-month,102.7,52,3,Medium,5340.4,false
5701-YVSVF,Month-to-month,82.9,11,9,Critical,911.9,false
5804-LEPIM,Month-to-month,70.35,2,9,Critical,140.7,true
5697-GOMBF,Month-to-month,35.9,28,7,Critical,1005.2,false
2739-CACDQ,Month-to-month,82.65,17,5,High,1405.05,false
9385-EHGDO,Two year,19.85,35,3,Medium,694.75,false
9498-FIMXL,One year,19.2,8,6,High,153.6,false
2379-GYFLQ,One year,94.9,46,2,Low,4365.4,false
0122-OAHPZ,Month-to-month,73.85,7,9,Critical,516.95,true
2868-SNELZ,Month-to-month,80.6,2,8,Critical,161.2,true
4322-RCYMT,One year,75.8,68,1,Low,5154.4,true
6680-NENYN,Two year,104.6,43,4,Medium,4497.8,true
2088-IEBAU,Two year,88.15,68,3,Medium,5994.2,false
7982-VCELR,Month-to-month,94.8,36,4,Medium,3412.8,false
1343-EHPYB,Month-to-month,103.4,63,6,High,6514.2,true
6035-BXTTY,Month-to-month,54.65,32,4,Medium,1748.8,false
6885-PKOAM,Two year,85.75,71,0,Low,6088.25,false
7520-HQWJU,Month-to-month,67.45,66,3,Medium,4451.7,false
9639-BUJXT,One year,20.5,63,3,Medium,1291.5,false
5924-SNGKP,One year,20.25,41,2,Low,830.25,false
0021-IKXGC,Month-to-month,72.1,1,9,Critical,72.1,false
2034-GDRCN,Month-to-month,90.4,2,9,Critical,180.8,true
8966-SNIZF,Two year,19.45,70,0,Low,1361.5,false
6243-OZGFH,Month-to-month,44.95,23,8,Critical,1033.85,false
4654-DLAMQ,One year,97.0,64,1,Low,6208.0,false
0513-RBGPE,Two year,62.8,37,1,Low,2323.6,false
5160-UXJED,One year,44.6,17,5,High,758.2,false
4115-NZRKS,Month-to-month,89.15,7,9,Critical,624.05,false
0219-YTZUE,Month-to-month,84.8,4,6,High,339.2,true
0623-IIHUG,Month-to-month,41.9,21,8,Critical,879.9,true
4572-DVCGN,Month-to-month,80.25,10,6,High,802.5,true
3351-NGXYI,Month-to-month,54.1,16,8,Critical,865.6,false
8984-EYLLL,Two year,105.25,64,3,Medium,6736.0,false
9057-MSWCO,Month-to-month,30.75,27,4,Medium,830.25,true
9833-TGFHX,One year,97.1,42,5,High,4078.2,false
9294-TDIPC,Month-to-month,20.2,5,8,Critical,101.0,false
5229-DTFYB,Two year,98.8,41,1,Low,4050.8,false
0104-PPXDV,One year,50.3,58,1,Low,2917.4,false
5176-LMJXE,Two year,20.55,47,3,Medium,965.85,false
3583-KRKMD,Month-to-month,75.9,18,5,High,1366.2,false
1010-DIAUQ,Month-to-month,96.5,5,6,High,482.5,true
9069-LGEUL,Month-to-month,59.95,23,5,High,1378.85,false
7302-ZHMHP,Month-to-month,19.15,1,8,Critical,19.15,false
9571-EDEBV,One year,98.65,71,1,Low,7004.15,false
3520-FJGCV,Two year,112.6,72,0,Low,8107.2,false
6563-VRERX,One year,20.6,33,4,Medium,679.8,false
0259-GBZSH,Month-to-month,85.65,2,9,Critical,171.3,true
6122-EFVKN,Two year,35.75,24,4,Medium,858.0,false
2805-EDJPQ,One year,99.75,56,1,Low,5586.0,false
6862-CQUMB,Month-to-month,96.1,37,4,Medium,3555.7,false
7156-MXBJE,One year,85.1,43,2,Low,3659.3,false
6158-HDPXZ,Month-to-month,25.35,1,8,Critical,25.35,false
9601-BRXPO,Month-to-month,104.95,25,4,Medium,2623.75,true
2863-IMQDR,Two year,89.65,61,3,Medium,5468.65,false
5686-CMAWK,One year,86.75,17,6,High,1474.75,false
5651-CRHKQ,One year,86.2,41,2,Low,3534.2,false
6905-NIQIN,Month-to-month,50.65,1,8,Critical,50.65,true
8204-YJCLA,Two year,64.8,72,0,Low,4665.6,false
5167-ZFFMM,Month-to-month,90.85,1,6,High,90.85,true
6583-SZVGP,Two year,108.1,48,1,Low,5188.8,false
4895-TMWIR,Month-to-month,19.95,11,8,Critical,219.45,true
0533-BNWKF,Month-to-month,85.45,55,6,High,4699.75,true
1708-PBBOA,One year,54.75,42,5,High,2299.5,false
8782-LKFPK,Month-to-month,90.4,44,6,High,3977.6,false
5522-JBWMO,Month-to-month,44.0,1,9,Critical,44.0,false
3597-MVHJT,Month-to-month,95.6,27,4,Medium,2581.2,false
9774-NRNAU,Month-to-month,84.8,27,4,Medium,2289.6,false
0224-RLWWD,Month-to-month,44.3,2,9,Critical,88.6,false
9967-ATRFS,Month-to-month,19.9,19,7,Critical,378.1,false
3951-NJCVI,Month-to-month,95.05,42,7,Critical,3992.1,false
2977-CEBSX,Two year,90.05,66,0,Low,5943.3,false
0177-PXBAT,Month-to-month,109.9,33,4,Medium,3626.7,false
6599-CEBNN,Month-to-month,73.95,34,4,Medium,2514.3,true
2519-ERQOJ,Month-to-month,54.6,33,7,Critical,1801.8,false
5876-QMYLD,One year,20.05,23,5,High,461.15,false
2277-AXSDC,One year,19.75,32,2,Low,632.0,false
9442-JTWDL,One year,20.05,11,4,Medium,220.55,false
0979-PHULV,Month-to-month,99.45,69,3,Medium,6862.05,true
3067-SVMTC,One year,55.9,68,1,Low,3801.2,false
5495-GPSRW,Two year,19.7,20,4,Medium,394.0,false
7606-BPHHN,Two year,19.8,72,0,Low,1425.6,false
4742-DRORA,One year,95.4,60,1,Low,5724.0,false
0111-KLBQG,Month-to-month,93.95,32,6,High,3006.4,false
4800-VHZKI,Month-to-month,19.9,1,8,Critical,19.9,true
7989-CHGTL,Month-to-month,19.6,1,8,Critical,19.6,true
0334-GDDSO,Month-to-month,81.35,3,9,Critical,244.05,true
4163-NCJAK,One year,24.45,46,2,Low,1124.7,false
5233-AOZUF,Month-to-month,74.95,29,7,Critical,2173.55,false
5973-EJGDP,Month-to-month,87.35,51,6,High,4454.85,false
1996-DBMUS,Month-to-month,70.65,48,4,Medium,3391.2,false
7916-VCCPB,Month-to-month,73.25,16,5,High,1172.0,false
4686-GEFRM,Two year,98.7,70,0,Low,6909.0,false
5249-QYHEX,Two year,24.8,40,3,Medium,992.0,false
0578-SKVMF,Month-to-month,83.3,22,8,Critical,1832.6,true
5564-NEMQO,Month-to-month,75.3,1,6,High,75.3,true
2233-FAGXV,Month-to-month,24.3,5,8,Critical,121.5,false
5605-IYGFG,Month-to-month,69.85,7,6,High,488.95,false
7663-ZTEGJ,One year,100.55,29,2,Low,2915.95,false
3935-TBRZZ,One year,25.7,44,4,Medium,1130.8,false
8111-BKVDS,Month-to-month,40.7,10,6,High,407.0,false
2055-SIFSS,Month-to-month,51.65,55,3,Medium,2840.75,false
2806-MLNTI,One year,105.1,52,1,Low,5465.2,false
8734-DKSTZ,Month-to-month,85.95,10,9,Critical,859.5,false
