customerID,Contract,tenure,MonthlyCharges,risk_score,risk_label,Churn
5630-AHZIL,Month-to-month,3,64.5,6,Critical,false
2673-CXQEU,One year,56,110.5,1,Medium,false
6416-JNVRK,One year,46,55.65,2,Medium,false
5590-ZSKRV,Month-to-month,8,54.65,6,Critical,false
0191-ZHSKZ,Month-to-month,30,74.75,4,High,false
3887-PBQAO,One year,45,25.9,2,Medium,false
5919-TMRGD,Month-to-month,1,79.35,6,Critical,true
8108-UXRQN,Month-to-month,11,50.55,6,Critical,false
9191-MYQKX,Month-to-month,7,75.15,6,Critical,true
9919-YLNNG,Month-to-month,42,103.8,4,High,false
0318-ZOPWS,Two year,49,20.15,0,Low,false
4445-ZJNMU,Month-to-month,9,99.3,6,Critical,false
4808-YNLEU,One year,35,62.15,2,Medium,false
1862-QRWPE,Two year,48,20.65,1,Medium,false
2796-NNUFI,Two year,46,19.95,1,Medium,false
3016-KSVCP,Month-to-month,29,33.75,4,High,false
4767-HZZHQ,Month-to-month,30,82.05,4,High,false
2424-WVHPL,Month-to-month,1,74.7,6,Critical,false
7233-PAHHL,Two year,66,84.0,0,Low,false
6067-NGCEU,Month-to-month,65,111.05,3,High,false
9848-JQJTX,Two year,72,100.9,0,Low,false
8637-XJIVR,Month-to-month,12,78.95,6,Critical,true
9803-FTJCG,One year,71,66.85,1,Medium,false
0278-YXOOG,Month-to-month,5,21.05,6,Critical,true
3212-KXOCR,Two year,52,21.0,0,Low,false
4598-XLKNJ,Month-to-month,25,98.5,4,High,true
6380-ARCEH,Month-to-month,1,20.2,6,Critical,false
3679-XASPY,Month-to-month,1,19.45,6,Critical,false
7123-WQUHX,One year,38,95.0,2,Medium,false
5386-THSLQ,One year,66,45.55,1,Medium,false
3192-NQECA,Two year,68,110.0,0,Low,true
6180-YBIQI,Month-to-month,5,24.3,6,Critical,false
6728-DKUCO,One year,72,104.15,1,Medium,false
9750-BOOHV,One year,32,30.15,2,Medium,false
8597-CWYHH,One year,43,94.35,2,Medium,false
2848-YXSMW,Two year,72,19.4,0,Low,false
0486-HECZI,Month-to-month,55,96.75,3,High,true
4549-ZDQYY,One year,52,57.95,1,Medium,false
5712-AHQNN,Month-to-month,43,91.65,4,High,false
4846-WHAFZ,Month-to-month,37,76.5,4,High,true
5256-SKJGO,Two year,64,54.6,0,Low,false
3071-VBYPO,Month-to-month,3,89.85,6,Critical,false
9560-BBZXK,Two year,36,31.05,1,Medium,false
5299-RULOA,Month-to-month,10,100.25,6,Critical,true
8402-OOOHJ,Two year,41,20.65,1,Medium,false
9445-ZUEQE,Month-to-month,27,85.2,4,High,false
1091-SOZGA,One year,56,99.8,1,Medium,false
2928-HLDBA,Month-to-month,6,20.7,6,Critical,false
0404-SWRVG,Month-to-month,3,74.4,6,Critical,true
6497-TILVL,Month-to-month,7,50.7,6,Critical,false
7219-TLZHO,Month-to-month,4,20.85,6,Critical,false
4622-YNKIJ,Two year,33,88.95,1,Medium,false
4412-YLTKF,Month-to-month,27,78.05,4,High,true
6734-PSBAW,Two year,72,23.55,0,Low,false
3930-ZGWVE,Month-to-month,1,19.75,6,Critical,false
2639-UGMAZ,One year,71,56.45,1,Medium,false
2876-GZYZC,Month-to-month,13,85.95,5,Critical,false
6207-WIOLX,Month-to-month,25,58.6,4,High,true
8587-XYZSF,Two year,67,50.55,0,Low,false
3091-FYHKI,Month-to-month,1,35.45,6,Critical,true
2372-HWUHI,Month-to-month,2,44.35,6,Critical,true
7799-LGRDP,Two year,43,25.7,1,Medium,false
7850-VWJUU,Month-to-month,23,75.0,5,Critical,false
3774-VBNXY,Two year,64,20.2,0,Low,false
6217-KDYWC,Two year,57,19.6,0,Low,false
0390-DCFDQ,Month-to-month,1,70.45,6,Critical,true
3146-MSEGF,Two year,72,88.05,0,Low,false
4080-OGPJL,Month-to-month,8,71.15,6,Critical,true
1095-WGNGG,Two year,61,101.05,0,Low,false
2636-SJDOU,One year,64,84.3,1,Medium,false
1131-QQZEB,Two year,71,23.95,0,Low,false
5716-EZXZN,Two year,65,99.05,0,Low,false
6837-BJYDQ,One year,3,19.6,4,High,false
2135-RXIHG,Month-to-month,1,45.65,6,Critical,true
6440-DKQGE,One year,30,64.5,2,Medium,false
3466-BYAVD,Month-to-month,15,69.5,5,Critical,false
3780-YVMFA,Month-to-month,8,68.55,6,Critical,false
3874-EQOEP,Month-to-month,7,95.0,6,Critical,true
1679-JRFBR,One year,70,108.15,1,Medium,false
9073-ZZIAY,Two year,62,86.1,0,Low,false
3077-RSNTJ,Month-to-month,6,19.7,6,Critical,false
6551-GNYDG,Month-to-month,14,80.9,5,Critical,false
9167-APMXZ,Month-to-month,22,84.15,5,Critical,false
2749-CTKAJ,One year,22,20.15,3,High,false
6371-NZYEG,Two year,16,64.25,2,Medium,false
7554-NEWDD,Two year,10,25.7,3,High,false
8992-VONJD,Month-to-month,13,56.0,5,Critical,false
0867-MKZVY,Month-to-month,20,82.4,5,Critical,true
4482-EWFMI,Month-to-month,2,69.7,6,Critical,false
4648-YPBTM,Two year,53,73.9,0,Low,false
2907-ILJBN,One year,11,20.6,4,High,false
6345-FZOQH,Two year,69,19.9,0,Low,false
3376-BMGFE,Month-to-month,4,70.9,6,Critical,true
5997-OPVFA,Two year,72,89.05,0,Low,false
3445-HXXGF,Month-to-month,58,45.3,3,High,true
1159-WFSGR,Month-to-month,16,20.4,5,Critical,false
7654-YWJUF,One year,43,84.25,2,Medium,false
1875-QIVME,Month-to-month,2,104.4,6,Critical,true
6727-IOTLZ,Two year,14,81.95,2,Medium,false
0691-JVSYA,One year,53,94.85,1,Medium,true
5918-VUKWP,One year,32,20.55,2,Medium,false
1744-JHKYS,Month-to-month,34,24.7,4,High,false
2656-FMOKZ,Month-to-month,15,74.45,5,Critical,true
2070-FNEXE,Month-to-month,7,76.45,6,Critical,true
5947-SGKCL,Month-to-month,15,105.35,5,Critical,false
3712-PKXZA,One year,61,20.55,1,Medium,false
6317-YPKDH,Month-to-month,1,29.95,6,Critical,true
6582-OIVSP,Month-to-month,1,45.3,6,Critical,false
9367-WXLCH,Month-to-month,8,84.5,6,Critical,true
5524-KHNJP,One year,33,74.75,2,Medium,false
1918-ZBFQJ,Month-to-month,13,79.25,5,Critical,true
1024-GUALD,Month-to-month,1,24.8,6,Critical,true
4827-USJHP,Month-to-month,20,51.8,5,Critical,false
8167-GJLRN,Month-to-month,3,30.4,6,Critical,false
0956-SYCWG,One year,13,19.65,3,High,false
8017-UVSZU,Month-to-month,40,56.6,4,High,false
7100-FQPRV,One year,43,71.9,2,Medium,false
2472-OVKUP,Month-to-month,6,91.0,6,Critical,true
2984-RGEYA,Two year,69,19.75,0,Low,false
9680-NIAUV,Two year,72,109.7,0,Low,false
2146-EGVDT,Two year,59,19.3,0,Low,false
2604-IJPDU,Month-to-month,20,96.55,5,Critical,false
9178-JHUVJ,Two year,24,24.1,2,Medium,false
6168-YBYNP,Month-to-month,59,111.35,3,High,false
7255-SSFBC,Two year,72,112.25,0,Low,false
3645-DEYGF,Month-to-month,1,20.75,6,Critical,false
9323-HGFWY,One year,27,101.9,2,Medium,false
8544-GOQSH,Month-to-month,14,80.05,5,Critical,false
3363-DTIVD,Two year,71,105.55,0,Low,false
7018-WBJNK,Month-to-month,13,78.3,5,Critical,false
9142-KZXOP,Month-to-month,44,68.85,4,High,false
7674-YTAFD,One year,33,79.95,2,Medium,false
6348-SNFUS,Two year,72,55.45,0,Low,false
1285-OKIPP,Month-to-month,1,79.9,6,Critical,true
7825-ECJRF,Month-to-month,19,106.6,5,Critical,true
1347-KTTTA,One year,64,102.45,1,Medium,false
7841-TZDMQ,Month-to-month,2,46.0,6,Critical,true
4195-NZGTA,Month-to-month,1,25.25,6,Critical,false
7157-SMCFK,Two year,61,19.75,0,Low,false
4709-LKHYG,One year,29,20.0,2,Medium,false
2504-DSHIH,Month-to-month,23,86.8,5,Critical,false
0699-NDKJM,Month-to-month,57,58.75,3,High,false
9286-BHDQG,Two year,72,45.25,0,Low,false
0230-WEQUW,Two year,66,56.6,0,Low,false
2040-LDIWQ,Two year,65,84.2,0,Low,false
6496-JDSSB,Month-to-month,8,80.0,6,Critical,false
9408-SSNVZ,Month-to-month,4,70.15,6,Critical,true
4443-EMBNA,Two year,71,24.75,0,Low,false
6469-MRVET,One year,1,20.2,4,High,false
0742-MOABM,Month-to-month,4,50.05,6,Critical,true
5961-VUSRV,One year,12,19.35,4,High,false
6778-JFCMK,One year,24,50.6,3,High,false
6341-JVQGF,One year,31,81.15,2,Medium,false
2232-DMLXU,Month-to-month,1,55.2,6,Critical,true
4811-JBUVU,Month-to-month,30,89.9,4,High,false
0945-TSONX,Two year,47,85.3,1,Medium,false
2651-ZCBXV,Two year,54,108.0,0,Low,false
3316-UWXUY,Month-to-month,50,93.5,3,High,false
8937-RDTHP,Month-to-month,1,84.6,6,Critical,true
7083-MIOPC,Two year,72,20.25,0,Low,false
1984-GPTEH,Month-to-month,29,25.15,4,High,false
1251-KRREG,Month-to-month,2,54.4,6,Critical,true
0621-JFHOL,Two year,10,29.6,3,High,false
9903-LYSAB,Month-to-month,18,73.15,5,Critical,false
0094-OIFMO,Month-to-month,11,95.0,6,Critical,true
9227-UAQFT,Two year,16,19.75,2,Medium,false
7301-ABVAD,Two year,72,86.6,0,Low,false
6614-FHDBO,Two year,72,109.2,0,Low,false
7576-ASEJU,One year,41,74.7,2,Medium,false
9058-HRZSV,Month-to-month,65,94.4,3,High,false
4522-AKYLR,Month-to-month,13,54.8,5,Critical,false
0221-WMXNQ,Month-to-month,4,75.35,6,Critical,false
0303-UNCIP,One year,41,65.0,2,Medium,false
9947-OTFQU,Month-to-month,15,74.4,5,Critical,true
0322-YINQP,Month-to-month,1,48.55,6,Critical,true
0959-WHOKV,One year,42,99.0,2,Medium,false
4075-JFPGR,One year,51,93.5,1,Medium,false
4629-NRXKX,Month-to-month,2,70.4,6,Critical,true
9514-JDSKI,Month-to-month,1,40.2,6,Critical,true
3282-ZISZV,One year,32,83.7,2,Medium,false
3675-YDUPJ,Month-to-month,10,19.85,6,Critical,false
4111-BNXIF,Two year,67,59.55,0,Low,false
7017-VFHAY,Two year,61,115.1,0,Low,false
6655-LHBYW,One year,50,114.35,1,Medium,false
4959-JOSRX,Month-to-month,2,44.6,6,Critical,true
5046-NUHWD,Month-to-month,29,45.0,4,High,false
7273-TEFQD,Month-to-month,3,41.15,6,Critical,true
3606-TWKGI,Month-to-month,13,106.9,5,Critical,true
7529-ZDFXI,Month-to-month,57,89.85,3,High,false
7605-BDWDC,Two year,31,49.85,1,Medium,false
1950-KSVVJ,One year,45,113.3,2,Medium,false
0123-CRBRT,Two year,61,88.1,0,Low,false
6292-TOSSS,Two year,50,24.9,0,Low,false
3197-ARFOY,Month-to-month,19,105.0,5,Critical,false
6323-AYBRX,Two year,59,19.35,0,Low,true
7014-ZZXAW,Two year,71,24.25,0,Low,false
4385-GZQXV,Month-to-month,16,94.45,5,Critical,true
7633-MVPUY,Two year,57,59.75,0,Low,false
6366-ZGQGL,Month-to-month,1,24.8,6,Critical,true
4716-HHKQH,Month-to-month,20,107.05,5,Critical,false
5940-AHUHD,Month-to-month,1,70.6,6,Critical,true
6432-TWQLB,Month-to-month,5,85.4,6,Critical,true
4484-GLZOU,Month-to-month,52,105.05,3,High,true
3179-GBRWV,Month-to-month,21,64.95,5,Critical,false
8645-KWHJO,Month-to-month,14,55.0,5,Critical,false
4130-MZLCC,Month-to-month,5,50.55,6,Critical,false
0314-TKOSI,Month-to-month,6,55.15,6,Critical,false
8229-MYEJZ,Month-to-month,10,51.2,6,Critical,false
2080-SRCDE,Month-to-month,1,25.4,6,Critical,false
9577-WJVCQ,Month-to-month,68,54.45,3,High,false
9512-UIBFX,Month-to-month,18,95.15,5,Critical,true
6202-DYYFX,One year,22,76.0,3,High,false
3808-HFKDE,Month-to-month,20,44.35,5,Critical,false
5583-SXDAG,Month-to-month,1,70.0,6,Critical,true
3488-PGMQJ,Month-to-month,8,74.5,6,Critical,true
3580-REOAC,Month-to-month,10,44.85,6,Critical,true
7534-BFESC,Month-to-month,24,76.1,5,Critical,true
3727-OWVYD,One year,35,61.2,2,Medium,false
2294-SALNE,One year,23,86.8,3,High,false
4847-TAJYI,Month-to-month,6,89.35,6,Critical,false
1563-IWQEX,Month-to-month,12,19.7,6,Critical,false
8203-XJZRC,Month-to-month,1,20.25,6,Critical,false
6556-DBKZF,Two year,71,76.05,0,Low,false
6851-WEFYX,Month-to-month,35,100.8,4,High,false
2985-JUUBZ,Month-to-month,40,74.55,4,High,false
6390-DSAZX,Month-to-month,1,73.6,6,Critical,true
0895-LMRSF,One year,23,64.9,3,High,false
8098-LLAZX,Month-to-month,4,95.45,6,Critical,true
8266-VBFQL,Month-to-month,4,90.4,6,Critical,false
8181-YHCMF,Two year,68,60.3,0,Low,false
2240-HSJQD,Month-to-month,38,81.85,4,High,false
1248-DYXUB,Two year,52,24.8,0,Low,false
0265-EDXBD,Month-to-month,32,74.9,4,High,true
4115-BNPJY,Two year,29,75.55,1,Medium,false
3167-SNQPL,Month-to-month,38,101.15,4,High,false
4091-TVOCN,One year,48,78.75,2,Medium,false
1098-TDVUQ,Month-to-month,1,19.25,6,Critical,false
7277-OZCGZ,Month-to-month,22,89.05,5,Critical,false
1557-EMYVT,Two year,43,115.05,1,Medium,false
2799-ARNLO,Month-to-month,5,69.35,6,Critical,false
7563-BIUPC,Month-to-month,5,80.6,6,Critical,true
5027-YOCXN,One year,51,110.05,1,Medium,false
3973-SKMLN,Two year,71,19.9,0,Low,false
2321-OMBXY,One year,38,80.3,2,Medium,true
2840-XANRC,Month-to-month,24,93.15,5,Critical,true
6745-JEFZB,Month-to-month,35,91.5,4,High,false
5020-ZSTTY,One year,54,82.45,1,Medium,true
9880-TDQAC,Two year,72,60.0,0,Low,false
8705-WZCYL,Month-to-month,1,44.8,6,Critical,false
7102-JJVTX,One year,9,48.6,4,High,false
8626-PTQGE,Two year,69,60.05,0,Low,false
4983-CLMLV,Month-to-month,52,102.7,3,High,false
5701-YVSVF,Month-to-month,11,82.9,6,Critical,false
5804-LEPIM,Month-to-month,2,70.35,6,Critical,true
5697-GOMBF,Month-to-month,28,35.9,4,High,false
2739-CACDQ,Month-to-month,17,82.65,5,Critical,false
9385-EHGDO,Two year,35,19.85,1,Medium,false
9498-FIMXL,One year,8,19.2,4,High,false
2379-GYFLQ,One year,46,94.9,2,Medium,false
0122-OAHPZ,Month-to-month,7,73.85,6,Critical,true
2868-SNELZ,Month-to-month,2,80.6,6,Critical,true
4322-RCYMT,One year,68,75.8,1,Medium,true
6680-NENYN,Two year,43,104.6,1,Medium,true
2088-IEBAU,Two year,68,88.15,0,Low,false
7982-VCELR,Month-to-month,36,94.8,4,High,false
1343-EHPYB,Month-to-month,63,103.4,3,High,true
6035-BXTTY,Month-to-month,32,54.65,4,High,false
6885-PKOAM,Two year,71,85.75,0,Low,false
7520-HQWJU,Month-to-month,66,67.45,3,High,false
9639-BUJXT,One year,63,20.5,1,Medium,false
5924-SNGKP,One year,41,20.25,2,Medium,false
0021-IKXGC,Month-to-month,1,72.1,6,Critical,false
2034-GDRCN,Month-to-month,2,90.4,6,Critical,true
8966-SNIZF,Two year,70,19.45,0,Low,false
6243-OZGFH,Month-to-month,23,44.95,5,Critical,false
4654-DLAMQ,One year,64,97.0,1,Medium,false
0513-RBGPE,Two year,37,62.8,1,Medium,false
5160-UXJED,One year,17,44.6,3,High,false
4115-NZRKS,Month-to-month,7,89.15,6,Critical,false
0219-YTZUE,Month-to-month,4,84.8,6,Critical,true
0623-IIHUG,Month-to-month,21,41.9,5,Critical,true
4572-DVCGN,Month-to-month,10,80.25,6,Critical,true
3351-NGXYI,Month-to-month,16,54.1,5,Critical,false
8984-EYLLL,Two year,64,105.25,0,Low,false
9057-MSWCO,Month-to-month,27,30.75,4,High,true
9833-TGFHX,One year,42,97.1,2,Medium,false
9294-TDIPC,Month-to-month,5,20.2,6,Critical,false
5229-DTFYB,Two year,41,98.8,1,Medium,false
0104-PPXDV,One year,58,50.3,1,Medium,false
5176-LMJXE,Two year,47,20.55,1,Medium,false
3583-KRKMD,Month-to-month,18,75.9,5,Critical,false
1010-DIAUQ,Month-to-month,5,96.5,6,Critical,true
9069-LGEUL,Month-to-month,23,59.95,5,Critical,false
7302-ZHMHP,Month-to-month,1,19.15,6,Critical,false
9571-EDEBV,One year,71,98.65,1,Medium,false
3520-FJGCV,Two year,72,112.6,0,Low,false
6563-VRERX,One year,33,20.6,2,Medium,false
0259-GBZSH,Month-to-month,2,85.65,6,Critical,true
6122-EFVKN,Two year,24,35.75,2,Medium,false
2805-EDJPQ,One year,56,99.75,1,Medium,false
6862-CQUMB,Month-to-month,37,96.1,4,High,false
7156-MXBJE,One year,43,85.1,2,Medium,false
6158-HDPXZ,Month-to-month,1,25.35,6,Critical,false
9601-BRXPO,Month-to-month,25,104.95,4,High,true
2863-IMQDR,Two year,61,89.65,0,Low,false
5686-CMAWK,One year,17,86.75,3,High,false
5651-CRHKQ,One year,41,86.2,2,Medium,false
6905-NIQIN,Month-to-month,1,50.65,6,Critical,true
8204-YJCLA,Two year,72,64.8,0,Low,false
5167-ZFFMM,Month-to-month,1,90.85,6,Critical,true
6583-SZVGP,Two year,48,108.1,1,Medium,false
4895-TMWIR,Month-to-month,11,19.95,6,Critical,true
0533-BNWKF,Month-to-month,55,85.45,3,High,true
1708-PBBOA,One year,42,54.75,2,Medium,false
8782-LKFPK,Month-to-month,44,90.4,4,High,false
5522-JBWMO,Month-to-month,1,44.0,6,Critical,false
3597-MVHJT,Month-to-month,27,95.6,4,High,false
9774-NRNAU,Month-to-month,27,84.8,4,High,false
0224-RLWWD,Month-to-month,2,44.3,6,Critical,false
9967-ATRFS,Month-to-month,19,19.9,5,Critical,false
3951-NJCVI,Month-to-month,42,95.05,4,High,false
2977-CEBSX,Two year,66,90.05,0,Low,false
0177-PXBAT,Month-to-month,33,109.9,4,High,false
6599-CEBNN,Month-to-month,34,73.95,4,High,true
2519-ERQOJ,Month-to-month,33,54.6,4,High,false
5876-QMYLD,One year,23,20.05,3,High,false
2277-AXSDC,One year,32,19.75,2,Medium,false
9442-JTWDL,One year,11,20.05,4,High,false
0979-PHULV,Month-to-month,69,99.45,3,High,true
3067-SVMTC,One year,68,55.9,1,Medium,false
5495-GPSRW,Two year,20,19.7,2,Medium,false
7606-BPHHN,Two year,72,19.8,0,Low,false
4742-DRORA,One year,60,95.4,1,Medium,false
0111-KLBQG,Month-to-month,32,93.95,4,High,false
4800-VHZKI,Month-to-month,1,19.9,6,Critical,true
7989-CHGTL,Month-to-month,1,19.6,6,Critical,true
0334-GDDSO,Month-to-month,3,81.35,6,Critical,true
4163-NCJAK,One year,46,24.45,2,Medium,false
5233-AOZUF,Month-to-month,29,74.95,4,High,false
5973-EJGDP,Month-to-month,51,87.35,3,High,false
1996-DBMUS,Month-to-month,48,70.65,4,High,false
7916-VCCPB,Month-to-month,16,73.25,5,Critical,false
4686-GEFRM,Two year,70,98.7,0,Low,false
5249-QYHEX,Two year,40,24.8,1,Medium,false
0578-SKVMF,Month-to-month,22,83.3,5,Critical,true
5564-NEMQO,Month-to-month,1,75.3,6,Critical,true
2233-FAGXV,Month-to-month,5,24.3,6,Critical,false
5605-IYGFG,Month-to-month,7,69.85,6,Critical,false
7663-ZTEGJ,One year,29,100.55,2,Medium,false
3935-TBRZZ,One year,44,25.7,2,Medium,false
8111-BKVDS,Month-to-month,10,40.7,6,Critical,false
2055-SIFSS,Month-to-month,55,51.65,3,High,false
2806-MLNTI,One year,52,105.1,1,Medium,false
8734-DKSTZ,Month-to-month,10,85.95,6,Critical,false
4360-PNRQB,Month-to-month,18,75.6,5,Critical,false
6152-ONASV,One year,68,58.25,1,Medium,false
9063-ZGTUY,Month-to-month,61,19.4,3,High,true
7781-HVGMK,Two year,72,65.2,0,Low,false
2181-UAESM,Month-to-month,2,53.45,6,Critical,false
2957-LOLHO,Month-to-month,12,45.4,6,Critical,true
6048-NJXHX,Two year,41,19.75,1,Medium,false
2320-SLKMB,Month-to-month,26,44.45,4,High,false
4980-URKXC,One year,36,20.85,2,Medium,false
4376-KFVRS,Two year,72,114.05,0,Low,false
5886-VLQVU,Month-to-month,35,89.85,4,High,false
3577-AMVUX,Month-to-month,1,55.05,6,Critical,false
0771-WLCLA,Month-to-month,16,112.95,5,Critical,false
5628-RKIFK,Month-to-month,49,101.55,3,High,false
0206-TBWLC,One year,54,114.65,1,Medium,false
2937-FTHUR,Month-to-month,18,64.8,5,Critical,false
1910-FMXJM,Month-to-month,36,80.4,4,High,false
7752-XUSCI,Month-to-month,60,105.9,3,High,true
4110-PFEUZ,Month-to-month,1,69.55,6,Critical,true
0732-OCQOC,Two year,52,25.05,0,Low,false
5168-MSWXT,Month-to-month,8,94.75,6,Critical,false
1090-ESELR,Two year,72,105.5,0,Low,false
8592-PLTMQ,One year,64,24.7,1,Medium,false
5760-WRAHC,Month-to-month,22,69.75,5,Critical,false
8847-GEOOQ,Month-to-month,60,60.2,3,High,false
0256-LTHVJ,Month-to-month,28,81.05,4,High,true
4785-FCIFB,Two year,61,24.4,0,Low,false
8313-NDOIA,Month-to-month,24,104.15,5,Critical,false
5149-CUZUJ,One year,28,92.9,2,Medium,false
0942-KOWSM,Two year,30,80.8,1,Medium,false
4237-CLSMM,Month-to-month,2,20.0,6,Critical,false
1452-VOQCH,Month-to-month,1,75.1,6,Critical,false
4719-UMSIY,Month-to-month,6,19.65,6,Critical,false
6614-VBEGU,Month-to-month,24,69.45,5,Critical,false
0880-TKATG,Month-to-month,4,101.15,6,Critical,true
3811-VBYBZ,Month-to-month,7,99.8,6,Critical,true
1480-BKXGA,Two year,72,116.05,0,Low,false
2996-XAUVF,Two year,70,40.05,0,Low,false
9076-AXYIK,Two year,64,102.1,0,Low,false
5968-XQIVE,One year,72,89.7,1,Medium,false
8896-RAZCR,Two year,44,19.9,1,Medium,false
4640-UHDOS,Month-to-month,13,55.95,5,Critical,true
4933-IKULF,One year,17,20.65,3,High,false
3583-EKAPL,Month-to-month,1,55.0,6,Critical,true
1304-BCCFO,Month-to-month,9,70.05,6,Critical,false
4104-PVRPS,Month-to-month,24,53.6,5,Critical,false
9399-APLBT,Month-to-month,1,74.7,6,Critical,true
2359-KMGLI,Month-to-month,24,80.25,5,Critical,true
3780-DDGSE,Month-to-month,35,76.05,4,High,false
4431-EDMIQ,Month-to-month,7,75.7,6,Critical,false
0306-JAELE,Month-to-month,5,96.1,6,Critical,true
6227-HWPWX,Month-to-month,15,69.0,5,Critical,true
0486-LGCCH,Two year,11,19.65,3,High,false
0447-BEMNG,Month-to-month,48,45.3,4,High,true
4612-SSVHJ,Month-to-month,20,81.45,5,Critical,false
5168-MQQCA,One year,72,108.5,1,Medium,false
5949-XIKAE,Month-to-month,8,83.55,6,Critical,true
7971-HLVXI,Two year,72,84.5,0,Low,false
9094-AZPHK,Month-to-month,15,100.15,5,Critical,false
3649-JPUGY,Two year,72,88.6,0,Low,false
4472-LVYGI,Two year,0,52.55,3,High,false
8372-JUXUI,Month-to-month,1,74.35,6,Critical,true
3552-CTCYF,Two year,63,104.8,0,Low,false
6778-YSNIH,Month-to-month,2,59.0,6,Critical,false
0388-EOPEX,Month-to-month,2,74.4,6,Critical,true
5756-OZRIO,One year,61,64.05,1,Medium,false
6579-JPICP,Month-to-month,1,20.4,6,Critical,false
8205-OTCHB,One year,22,43.75,3,High,true
4134-BSXLX,Month-to-month,28,60.9,4,High,false
0505-SPOOW,Two year,70,19.8,0,Low,false
