customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,charge_band,ChurnInt
4808-YNLEU,Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),62.15,2215.45,false,25-48 months,Medium ($35-65),0
9803-FTJCG,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),66.85,4748.7,false,49+ months,High ($65-90),0
7123-WQUHX,Male,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No,Bank transfer (automatic),95.0,3605.6,false,25-48 months,Premium (>$90),0
5386-THSLQ,Female,Yes,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),45.55,3027.25,false,49+ months,Medium ($35-65),0
6728-DKUCO,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,104.15,7303.05,false,49+ months,Premium (>$90),0
9750-BOOHV,Female,No,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,No,Mailed check,30.15,927.65,false,25-48 months,Low (<$35),0
8597-CWYHH,Male,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,94.35,3921.3,false,25-48 months,Premium (>$90),0
4549-ZDQYY,Female,No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Credit card (automatic),57.95,3042.25,false,49+ months,Medium ($35-65),0
1091-SOZGA,Female,No,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),99.8,5515.45,false,49+ months,Premium (>$90),0
2639-UGMAZ,Male,Yes,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,56.45,3985.35,false,49+ months,Medium ($35-65),0
2636-SJDOU,Male,No,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Credit card (automatic),84.3,5289.05,false,49+ months,High ($65-90),0
6837-BJYDQ,Male,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.6,61.35,false,0-12 months,Low (<$35),0
6440-DKQGE,Male,No,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No,Credit card (automatic),64.5,1929.95,false,25-48 months,Medium ($35-65),0
1679-JRFBR,Female,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),108.15,7930.55,false,49+ months,Premium (>$90),0
2749-CTKAJ,Male,No,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.15,419.9,false,13-24 months,Low (<$35),0
2907-ILJBN,Female,No,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.6,233.9,false,0-12 months,Low (<$35),0
7654-YWJUF,Male,No,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Bank transfer (automatic),84.25,3539.25,false,25-48 months,High ($65-90),0
0691-JVSYA,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),94.85,5000.2,true,49+ months,Premium (>$90),1
5918-VUKWP,Female,No,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.55,654.55,false,25-48 months,Low (<$35),0
3712-PKXZA,Male,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),20.55,1252.0,false,49+ months,Low (<$35),0
5524-KHNJP,Male,No,Yes,Yes,33,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,No,Credit card (automatic),74.75,2453.3,false,25-48 months,High ($65-90),0
0956-SYCWG,Female,No,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,19.65,244.8,false,13-24 months,Low (<$35),0
7100-FQPRV,Male,No,Yes,Yes,43,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Credit card (automatic),71.9,3173.35,false,25-48 months,High ($65-90),0
9323-HGFWY,Female,No,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),101.9,2681.15,false,25-48 months,Premium (>$90),0
7674-YTAFD,Female,No,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,Bank transfer (automatic),79.95,2684.85,false,25-48 months,High ($65-90),0
1347-KTTTA,Male,No,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),102.45,6654.1,false,49+ months,Premium (>$90),0
4709-LKHYG,Female,No,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,20.0,540.05,false,25-48 months,Low (<$35),0
6469-MRVET,Male,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,20.2,20.2,false,0-12 months,Low (<$35),0
5961-VUSRV,Female,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.35,219.35,false,0-12 months,Low (<$35),0
6778-JFCMK,Male,No,No,No,24,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Yes,Mailed check,50.6,1288.75,false,13-24 months,Medium ($35-65),0
6341-JVQGF,Female,No,Yes,Yes,31,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Mailed check,81.15,2545.75,false,25-48 months,High ($65-90),0
7576-ASEJU,Female,No,Yes,Yes,41,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),74.7,3187.65,false,25-48 months,High ($65-90),0
0303-UNCIP,Male,No,No,No,41,Yes,Yes,DSL,No,No,Yes,No,No,Yes,No,Mailed check,65.0,2531.8,false,25-48 months,High ($65-90),0
0959-WHOKV,Male,No,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Electronic check,99.0,4298.45,false,25-48 months,Premium (>$90),0
4075-JFPGR,Female,No,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Electronic check,93.5,4619.55,false,49+ months,Premium (>$90),0
3282-ZISZV,Male,No,No,Yes,32,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),83.7,2633.3,false,25-48 months,High ($65-90),0
6655-LHBYW,Male,No,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),114.35,5791.1,false,49+ months,Premium (>$90),0
1950-KSVVJ,Female,No,Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Mailed check,113.3,5032.25,false,25-48 months,Premium (>$90),0
6202-DYYFX,Female,No,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Credit card (automatic),76.0,1783.6,false,13-24 months,High ($65-90),0
3727-OWVYD,Male,No,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,Mailed check,61.2,2021.2,false,25-48 months,Medium ($35-65),0
2294-SALNE,Male,No,Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,No,Mailed check,86.8,1940.8,false,13-24 months,High ($65-90),0
0895-LMRSF,Male,No,No,No,23,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,Bank transfer (automatic),64.9,1509.8,false,13-24 months,Medium ($35-65),0
4091-TVOCN,Male,No,No,Yes,48,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),78.75,3682.45,false,25-48 months,High ($65-90),0
5027-YOCXN,Male,No,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,No,Credit card (automatic),110.05,5686.4,false,49+ months,Premium (>$90),0
2321-OMBXY,Female,No,Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Credit card (automatic),80.3,3058.65,true,25-48 months,High ($65-90),1
5020-ZSTTY,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),82.45,4350.1,true,49+ months,High ($65-90),1
7102-JJVTX,Female,No,Yes,Yes,9,Yes,No,DSL,Yes,No,No,No,No,No,No,Mailed check,48.6,422.3,false,0-12 months,Medium ($35-65),0
9498-FIMXL,Female,No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,19.2,161.95,false,0-12 months,Low (<$35),0
2379-GYFLQ,Male,No,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),94.9,4422.95,false,25-48 months,Premium (>$90),0
4322-RCYMT,Male,No,Yes,Yes,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),75.8,5293.95,true,49+ months,High ($65-90),1
9639-BUJXT,Male,No,No,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.5,1328.15,false,49+ months,Low (<$35),0
5924-SNGKP,Female,No,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card (automatic),20.25,865.0,false,25-48 months,Low (<$35),0
4654-DLAMQ,Female,Yes,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Bank transfer (automatic),97.0,6430.9,false,49+ months,Premium (>$90),0
5160-UXJED,Male,No,No,Yes,17,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,44.6,681.4,false,13-24 months,Medium ($35-65),0
9833-TGFHX,Male,No,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,Electronic check,97.1,4016.75,false,25-48 months,Premium (>$90),0
0104-PPXDV,Male,No,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,No,Credit card (automatic),50.3,2878.55,false,49+ months,Medium ($35-65),0
9571-EDEBV,Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),98.65,6962.85,false,49+ months,Premium (>$90),0
6563-VRERX,Male,No,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.6,690.25,false,25-48 months,Low (<$35),0
2805-EDJPQ,Female,No,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),99.75,5608.4,false,49+ months,Premium (>$90),0
7156-MXBJE,Female,No,No,No,43,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),85.1,3662.25,false,25-48 months,High ($65-90),0
5686-CMAWK,Male,No,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,No,Electronic check,86.75,1410.25,false,13-24 months,High ($65-90),0
5651-CRHKQ,Female,No,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Yes,Bank transfer (automatic),86.2,3339.05,false,25-48 months,High ($65-90),0
1708-PBBOA,Female,No,No,No,42,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Electronic check,54.75,2348.45,false,25-48 months,Medium ($35-65),0
5876-QMYLD,Female,No,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.05,415.1,false,13-24 months,Low (<$35),0
2277-AXSDC,Female,No,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.75,624.15,false,25-48 months,Low (<$35),0
9442-JTWDL,Female,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.05,237.7,false,0-12 months,Low (<$35),0
3067-SVMTC,Female,No,Yes,No,68,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),55.9,3848.8,false,49+ months,Medium ($35-65),0
4742-DRORA,Male,No,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),95.4,5812.0,false,49+ months,Premium (>$90),0
4163-NCJAK,Female,No,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),24.45,1066.15,false,25-48 months,Low (<$35),0
7663-ZTEGJ,Male,No,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,No,Credit card (automatic),100.55,2830.45,false,25-48 months,Premium (>$90),0
3935-TBRZZ,Male,No,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,25.7,1110.5,false,25-48 months,Low (<$35),0
2806-MLNTI,Male,Yes,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),105.1,5376.4,false,49+ months,Premium (>$90),0
6152-ONASV,Female,No,Yes,No,68,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,Bank transfer (automatic),58.25,3975.7,false,49+ months,Medium ($35-65),0
4980-URKXC,Male,No,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.85,720.05,false,25-48 months,Low (<$35),0
0206-TBWLC,Female,No,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Mailed check,114.65,6049.5,false,49+ months,Premium (>$90),0
8592-PLTMQ,Female,No,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,24.7,1642.75,false,49+ months,Low (<$35),0
5149-CUZUJ,Male,No,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,No,Bank transfer (automatic),92.9,2768.35,false,25-48 months,Premium (>$90),0
5968-XQIVE,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,89.7,6588.95,false,49+ months,High ($65-90),0
4933-IKULF,Female,Yes,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,330.6,false,13-24 months,Low (<$35),0
5168-MQQCA,Female,No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),108.5,8003.8,false,49+ months,Premium (>$90),0
5756-OZRIO,Male,Yes,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,No,Yes,No,Bank transfer (automatic),64.05,3902.6,false,49+ months,Medium ($35-65),0
8205-OTCHB,Male,No,No,No,22,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes,Bank transfer (automatic),43.75,903.6,true,13-24 months,Medium ($35-65),1
4374-YMUSQ,Male,No,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),116.25,3899.05,false,25-48 months,Premium (>$90),0
3957-HHLMR,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,No,No,No,No,Yes,No,Bank transfer (automatic),65.2,4543.15,false,49+ months,High ($65-90),0
4332-MUOEZ,Male,Yes,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,Credit card (automatic),94.3,1818.3,false,13-24 months,Premium (>$90),0
3482-ABPKK,Female,No,No,No,28,Yes,No,DSL,Yes,No,No,Yes,No,No,No,Mailed check,54.3,1546.3,false,25-48 months,Medium ($35-65),0
5174-ITUMV,Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,105.4,6989.45,false,49+ months,Premium (>$90),0
0750-EBAIU,Male,No,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,No,Electronic check,91.25,4738.3,false,49+ months,Premium (>$90),0
3571-DPYUH,Male,No,Yes,Yes,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Yes,Credit card (automatic),94.7,5430.35,false,49+ months,Premium (>$90),0
1297-VQDRP,Male,Yes,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),107.15,7379.8,false,49+ months,Premium (>$90),0
5844-QVTAT,Female,No,Yes,Yes,33,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Mailed check,58.45,1955.4,false,25-48 months,Medium ($35-65),0
8905-IAZPF,Female,No,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),95.65,6744.2,false,49+ months,Premium (>$90),0
7129-AZJDE,Male,No,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),78.95,2647.2,false,25-48 months,High ($65-90),0
2560-PPCHE,Female,No,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),105.05,6744.25,false,49+ months,Premium (>$90),0
4676-MQUEA,Male,Yes,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Bank transfer (automatic),101.9,5265.5,false,49+ months,Premium (>$90),0
5791-KAJFD,Female,No,Yes,Yes,56,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Yes,Bank transfer (automatic),68.75,3808.0,false,49+ months,High ($65-90),0
1154-HYWWO,Male,No,No,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Mailed check,70.6,2708.2,false,25-48 months,High ($65-90),0
6815-ABQFQ,Male,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,107.25,6033.3,false,49+ months,Premium (>$90),0
6967-QIQRV,Male,No,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Electronic check,101.9,1667.25,false,13-24 months,Premium (>$90),0
0308-IVGOK,Female,No,No,No,11,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),40.4,422.6,false,0-12 months,Medium ($35-65),0
5756-JYOJT,Female,No,No,No,11,Yes,No,DSL,No,No,Yes,Yes,No,Yes,No,Credit card (automatic),64.9,697.25,false,0-12 months,Medium ($35-65),0
4710-FDUIZ,Male,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No,Credit card (automatic),100.3,5614.45,true,49+ months,Premium (>$90),1
5150-LJNSR,Male,No,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,No,Bank transfer (automatic),98.05,3082.1,false,25-48 months,Premium (>$90),0
8752-IMQOS,Male,No,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.1,85.1,false,0-12 months,Low (<$35),0
5512-IDZEI,Male,No,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,24.9,1174.8,false,25-48 months,Low (<$35),0
1710-RCXUS,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Credit card (automatic),90.35,4614.55,false,49+ months,Premium (>$90),0
5173-ZXXXL,Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.95,47.7,false,0-12 months,Low (<$35),0
1096-ADRUX,Female,No,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),74.25,4859.25,false,49+ months,High ($65-90),0
2731-GJRDG,Female,No,No,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),109.55,3608.0,false,25-48 months,Premium (>$90),0
8672-OAUPW,Male,No,No,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,No,Credit card (automatic),47.85,2356.75,false,49+ months,Medium ($35-65),0
6689-VRRTK,Female,Yes,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),109.8,4860.35,false,25-48 months,Premium (>$90),0
7134-MJPDY,Female,Yes,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),102.85,6976.75,false,49+ months,Premium (>$90),0
0516-UXRMT,Female,No,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Electronic check,92.05,5755.8,false,49+ months,Premium (>$90),0
4851-BQDNX,Male,No,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,85.05,3355.65,false,25-48 months,High ($65-90),0
6797-UCJHZ,Female,Yes,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),104.6,6819.45,false,49+ months,Premium (>$90),0
7665-VIGUD,Male,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.35,176.3,false,0-12 months,Low (<$35),0
9411-TPQQV,Female,No,No,No,40,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),54.55,2236.2,false,25-48 months,Medium ($35-65),0
4913-EHYUI,Male,Yes,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),104.55,5794.65,true,49+ months,Premium (>$90),1
4908-XAXAY,Female,Yes,No,No,49,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Bank transfer (automatic),89.85,4287.2,false,49+ months,High ($65-90),0
2391-IPLOP,Male,No,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Yes,Electronic check,69.65,3442.15,false,49+ months,High ($65-90),0
7838-LAZFO,Male,No,Yes,No,45,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Bank transfer (automatic),78.8,3597.5,false,25-48 months,High ($65-90),0
4464-JCOLN,Male,No,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,19.85,35.9,true,0-12 months,Low (<$35),1
5642-MHDQT,Female,No,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),19.85,1039.45,false,49+ months,Low (<$35),0
2324-AALNO,Female,No,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),24.55,1203.95,false,25-48 months,Low (<$35),0
7251-LJBQN,Female,Yes,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),103.75,4188.4,false,25-48 months,Premium (>$90),0
5313-FPXWG,Male,No,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),24.6,1266.4,false,49+ months,Low (<$35),0
0946-FKYTX,Male,No,No,No,52,No,No phone service,DSL,No,Yes,No,No,No,No,No,Mailed check,30.1,1623.4,false,49+ months,Low (<$35),0
6663-JOCQO,Male,No,Yes,Yes,31,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Bank transfer (automatic),75.25,2344.5,false,25-48 months,High ($65-90),0
9620-QJREV,Male,No,No,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),20.55,1013.05,false,25-48 months,Low (<$35),0
